BOARD_DATE,TKT_BEG,STOP_NAME,IN,OUT
20061011,175,"台南  ",18659,19378
20061012,175,"台南  ",16701,16757
20061013,175,"台南  ",22609,21408
20061014,175,"台南  ",20736,19474
20061015,175,"台南  ",23852,26068
20061016,175,"台南  ",17708,18193
20061017,175,"台南  ",16311,16419
20061018,175,"台南  ",17219,16422
20061019,175,"台南  ",17120,17493
20061020,175,"台南  ",28557,26004
20061021,175,"台南  ",22815,21548
20061022,175,"台南  ",25599,28668
20061023,175,"台南  ",18107,18834
20061024,175,"台南  ",16586,16441
20061025,175,"台南  ",16527,16488
20061026,175,"台南  ",17126,17064
20061027,175,"台南  ",27023,25884
20061028,175,"台南  ",22185,21065
20061029,175,"台南  ",25564,27408
20061030,175,"台南  ",18525,19060
20061031,175,"台南  ",15962,16165
20061101,175,"台南  ",15813,15611
20061102,175,"台南  ",16993,16589
20061103,175,"台南  ",26566,24485
20061104,175,"台南  ",20190,20066
20061105,175,"台南  ",22481,25491
20061106,175,"台南  ",17919,18741
20061107,175,"台南  ",16303,16373
20061108,175,"台南  ",15928,16269
20061109,175,"台南  ",16884,17260
20061110,175,"台南  ",25392,25179
20061111,175,"台南  ",22163,21471
20061112,175,"台南  ",24702,25859
20061113,175,"台南  ",18635,18971
20061114,175,"台南  ",16095,17215
20061115,175,"台南  ",15910,15656
20061116,175,"台南  ",17918,18112
20061117,175,"台南  ",29418,26964
20061118,175,"台南  ",22696,20804
20061119,175,"台南  ",26552,29476
20061120,175,"台南  ",18741,19841
20061121,175,"台南  ",16128,17299
20061122,175,"台南  ",16043,17788
20061123,175,"台南  ",17402,18001
20061124,175,"台南  ",28107,27289
20061125,175,"台南  ",23455,22803
20061126,175,"台南  ",25012,27939
20061127,175,"台南  ",18420,19502
20061128,175,"台南  ",16277,16347
20061129,175,"台南  ",16727,16512
20061130,175,"台南  ",16880,17066
20061201,175,"台南  ",28369,26154
20061202,175,"台南  ",22957,22504
20061203,175,"台南  ",26680,30272
20061204,175,"台南  ",18670,19548
20061205,175,"台南  ",16256,16324
20061206,175,"台南  ",16177,16195
20061207,175,"台南  ",18105,18404
20061208,175,"台南  ",29383,28137
20061209,175,"台南  ",25247,24705
20061210,175,"台南  ",28033,31258
20061211,175,"台南  ",19295,20035
20061212,175,"台南  ",16790,16896
20061213,175,"台南  ",16621,16545
20061214,175,"台南  ",16946,17058
20061215,175,"台南  ",27179,25668
20061216,175,"台南  ",22604,21636
20061217,175,"台南  ",25301,29282
20061218,175,"台南  ",18398,19260
20061219,175,"台南  ",16261,16301
20061220,175,"台南  ",16430,16379
20061221,175,"台南  ",17474,17469
20061222,175,"台南  ",28541,26481
20061223,175,"台南  ",22749,21802
20061224,175,"台南  ",25765,30206
20061225,175,"台南  ",20842,21521
20061226,175,"台南  ",16591,16846
20061227,175,"台南  ",16276,16216
20061228,175,"台南  ",17484,17840
20061229,175,"台南  ",29736,28406
20061230,175,"台南  ",23924,22316
20061231,175,"台南  ",22389,23836
20070101,175,"台南  ",31529,34647
20070102,175,"台南  ",19546,20170
20070103,175,"台南  ",15916,15717
20070104,175,"台南  ",15957,15993
20070105,175,"台南  ",24507,23107
20070106,175,"台南  ",19512,18367
20070107,175,"台南  ",21009,23174
20070108,175,"台南  ",17134,17742
20070109,175,"台南  ",15463,15319
20070110,175,"台南  ",15582,15246
20070111,175,"台南  ",16278,16011
20070112,175,"台南  ",23346,22098
20070113,175,"台南  ",18473,17505
20070114,175,"台南  ",20393,21529
20070115,175,"台南  ",17002,17690
20070116,175,"台南  ",16727,16157
20070117,175,"台南  ",16621,15998
20070118,175,"台南  ",16605,16473
20070119,175,"台南  ",24017,22853
20070120,175,"台南  ",20839,20164
20070121,175,"台南  ",21744,23450
20070122,175,"台南  ",18039,18712
20070123,175,"台南  ",17282,16903
20070124,175,"台南  ",17038,16290
20070125,175,"台南  ",17398,16839
20070126,175,"台南  ",24211,23117
20070127,175,"台南  ",19624,18679
20070128,175,"台南  ",20817,20636
20070129,175,"台南  ",18509,18684
20070130,175,"台南  ",17686,17215
20070131,175,"台南  ",17958,17846
20070201,175,"台南  ",18096,18450
20070202,175,"台南  ",21499,21688
20070203,175,"台南  ",19111,18195
20070204,175,"台南  ",20753,20690
